complaint_id,ward_id,category,days_ago,text
1001,12,drain_blockage,6,"Stormwater drain blocked near market road, water stagnating"
1002,9,drain_blockage,5,"Gutter overflowing behind school, smell and mosquitos"
1003,9,drain_blockage,5,"Culvert silted up near temple road"
1004,12,drain_blockage,4,"Drain covered with plastic waste near bus stop"
1005,9,waterlogging,4,"Rainwater not draining from street for two days"
1006,12,drain_blockage,3,"Open drain clogged, overflow into courtyard"
1007,9,drain_blockage,2,"Canal side drain blocked again after cleaning"
1008,5,drain_blockage,2,"Small blockage near park gate, slow draining"
1009,12,drain_blockage,2,"Water not draining near market road after showers"
1010,9,drain_blockage,1,"Second complaint: same blocked drain, no action yet"
1011,10,drain_blockage,1,"Drain grate blocked with leaves near junction"
1012,12,drain_blockage,1,"Drain overflow entering shop front, request urgent cleaning"
1013,10,drain_blockage,1,"Repeated waterlogging at railway bridge culvert"
1014,15,drain_blockage,1,"Silt accumulation in drain near temple"
1015,12,drain_blockage,7,"Manhole overflowing after brief shower near school lane"
1016,12,drain_blockage,6,"Standing water on hospital road, drain blocked"
1017,9,drain_blockage,6,"Drain near market overflowed, waste floating"
1018,9,waterlogging,3,"Street corner floods with any rain, drain choked"
1019,9,drain_blockage,7,"Third complaint for same spot, drain still blocked"
1020,5,drain_blockage,4,"Drain partially blocked near church road"
1021,10,drain_blockage,3,"Water standing near market after rain, drain slow"
1022,10,drain_blockage,6,"Drain blocked with construction debris"
1023,15,drain_blockage,5,"Overflowing drain near community hall"
1024,15,drain_blockage,2,"Blocked gutter causing pool on main road"
1025,7,drain_blockage,5,"Drain grate clogged near metro station road"
